,country,happiness_score,beer_percapita,spirit_percapita,wine_percapita
531,Bosnia and Herzegovina,5.386,76,173,8
532,Turkey,5.372999999999999,51,22,7
533,Belarus,5.3229999999999995,142,373,42
534,Greece,5.287000000000001,133,112,218
535,Mongolia,5.285,77,189,8
536,Nigeria,5.265,42,5,2
537,Kyrgyzstan,5.261,31,97,6
538,Turkmenistan,5.247000000000001,19,71,32
539,Morocco,5.207999999999999,12,6,10
540,Azerbaijan,5.207999999999999,21,46,5
541,Lebanon,5.197,20,55,31
542,China,5.191,79,192,8
543,Vietnam,5.175,111,2,1
544,Cameroon,5.044,147,1,4
545,Bulgaria,5.011,231,252,94
546,Ghana,4.996,31,3,10
547,Jordan,4.906000000000001,6,21,1
548,Benin,4.883,34,4,13
549,Gabon,4.7989999999999995,347,98,59
550,South Africa,4.7219999999999995,225,76,81
551,Albania,4.718999999999999,89,132,54
552,Venezuela,4.707,333,100,3
553,Cambodia,4.7,57,65,1
554,Senegal,4.681,9,1,7
555,Namibia,4.638999999999999,376,3,1
556,Niger,4.628,3,2,1
557,Burkina Faso,4.587,25,7,7
558,Armenia,4.559,21,179,11
559,Georgia,4.519,52,100,149
560,Kenya,4.5089999999999995,58,22,2
561,Tunisia,4.461,51,3,20
562,Mali,4.39,5,1,1
563,Sierra Leone,4.374,25,3,2
564,Chad,4.35,15,1,1
565,Ukraine,4.332,206,237,45
566,Egypt,4.166,6,4,1
567,Zambia,4.107,32,19,4
568,Togo,4.085,36,2,19
569,Liberia,3.975,19,152,2
570,Comoros,3.9730000000000003,1,3,1
571,Madagascar,3.9330000000000003,26,15,4
572,Zimbabwe,3.6630000000000003,64,18,4
573,Haiti,3.597,1,326,1
574,Botswana,3.488,173,35,35
575,Syria,3.4619999999999997,5,35,16
576,Malawi,3.41,8,11,1
577,Tanzania,3.2310000000000003,36,6,1
